,rank,movie_name,movie_url,movie_year,genre,director_name,rating,cast_and_crew
22,23.0,A Man Called Otto,https://www.imdb.com/title/tt7405458/,2022,Comedy,Marc Forster,7.6,"['Tom Hanks' 'Mariana Trevino' 'Rachel Keller' 'John Higgins'
 'Tony Bingham' 'Lily Kozub' 'Mack Bayda' 'Cameron Britton'
 'Juanita Jennings' 'Peter Lawson Jones' 'Max Pavel' 'Kailey Hyman'
 'Peter Sipla' 'Patrick Stanny' 'Allyson R. Hood' 'Carl Clemons'
 'Connor McCanlus' 'Kristy Nolen']"
23,24.0,The Pale Blue Eye,https://www.imdb.com/title/tt14138650/,2022,Crime,Scott Cooper,6.6,"['Christian Bale' 'Harry Melling' 'Simon McBurney' 'Timothy Spall'
 'Toby Jones' 'Harry Lawtey' 'Fred Hechinger' 'Joey Brooks'
 'Charlotte Gainsbourg' 'Lucy Boynton' 'Robert Duvall' 'Gillian Anderson'
 'Steven Maier' 'Brennan Keel Cook' 'Orlagh Cassidy' 'Scott Anderson'
 'Gideon Glick' 'Jack Irv']"
24,25.0,X,https://www.imdb.com/title/tt13560574/,2022,Horror,Ti West,6.6,"['Mia Goth' 'Jenna Ortega' 'Brittany Snow' 'Kid Cudi' 'Martin Henderson'
 'Owen Campbell' 'Stephen Ure' 'James Gaylyn' 'Simon Prast' 'Geoff Dolan'
 'Matthew J. Saville' 'Bryony Skillington']"
25,26.0,80 for Brady,https://www.imdb.com/title/tt18079362/,2023,Comedy,Kyle Marvin,6.0,"['Rita Moreno' 'Sally Field' 'Jane Fonda' 'Lily Tomlin' 'Patton Oswalt'
 'Sara Gilbert' 'Harry Hamlin' 'Sally Kirkland' 'Tom Brady' 'Glynn Turman'
 'Bob Balaban' 'Jimmy O. Yang' 'Ron Funches' 'Rebecca Field'
 'Rob Gronkowski' 'Zina Wilde' 'Danny Amendola' 'Julian Edelman']"
26,27.0,Murder Mystery 2,https://www.imdb.com/title/tt15255288/,2023,Action,Jeremy Garelick,6.0,"['Rita Moreno' 'Sally Field' 'Jane Fonda' 'Lily Tomlin' 'Patton Oswalt'
 'Sara Gilbert' 'Harry Hamlin' 'Sally Kirkland' 'Tom Brady' 'Glynn Turman'
 'Bob Balaban' 'Jimmy O. Yang' 'Ron Funches' 'Rebecca Field'
 'Rob Gronkowski' 'Zina Wilde' 'Danny Amendola' 'Julian Edelman']"
27,28.0,Aftersun,https://www.imdb.com/title/tt19770238/,2022,Drama,Charlotte Wells,7.7,"['Paul Mescal' 'Frankie Corio' 'Celia Rowlson-Hall' 'Sally Messham'
 'Ayse Parlak' 'Sophia Lamanova' 'Brooklyn Toulson' 'Spike Fearn'
 'Harry Perdios' 'Frank Corio' 'Ruby Thompson' 'Ethan James Smith'
 'Onur Eksioglu' 'Cafer Karahan' 'Kayleigh Coleman' 'John Stuifzand'
 'Tyler Mutlu' 'Kieran Burton']"
28,29.0,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,2022,Action,Joseph Kosinski,8.3,"['Tom Cruise' 'Jennifer Connelly' 'Miles Teller' 'Val Kilmer'
 'Bashir Salahuddin' 'Jon Hamm' 'Charles Parnell' 'Monica Barbaro'
 'Lewis Pullman' 'Jay Ellis' 'Danny Ramirez' 'Glen Powell'
 'Jack Schumacher' 'Manny Jacinto' 'Kara Wang' 'Greg Tarzan Davis'
 'Jake Picking' 'Raymond Lee']"
29,30.0,Bullet Train,https://www.imdb.com/title/tt12593682/,2022,Action,David Leitch,7.3,"['Brad Pitt' 'Joey King' 'Aaron Taylor-Johnson' 'Brian Tyree Henry'
 'Andrew Koji' 'Hiroyuki Sanada' 'Michael Shannon' 'Sandra Bullock'
 'Bad Bunny' 'Logan Lerman' 'Zazie Beetz' 'Masi Oka' 'Karen Fukuhara'
 'Kevin Akiyoshi Ching' 'Minchi Murakami' 'Kaori Taketani'
 'Toshitaka Katsumi' 'Jim Garrity']"
30,31.0,Groundhog Day,https://www.imdb.com/title/tt0107048/,1993,Comedy,Harold Ramis,8.1,"['Bill Murray' 'Andie MacDowell' 'Chris Elliott' 'Stephen Tobolowsky'
 'Brian Doyle-Murray' 'Marita Geraghty' 'Angela Paton' 'Rick Ducommun'
 'Rick Overton' 'Robin Duke' 'Carol Bivins' 'Willie Garson'
 'Ken Hudson Campbell' 'Les Podewell' 'Rod Sell' 'Tom Milanovich'
 'John M. Watson Sr.' 'Peggy Roeder']"
31,32.0,Cocaine Bear,https://www.imdb.com/title/tt14209916/,2023,Thriller,Elizabeth Banks,8.1,"['Bill Murray' 'Andie MacDowell' 'Chris Elliott' 'Stephen Tobolowsky'
 'Brian Doyle-Murray' 'Marita Geraghty' 'Angela Paton' 'Rick Ducommun'
 'Rick Overton' 'Robin Duke' 'Carol Bivins' 'Willie Garson'
 'Ken Hudson Campbell' 'Les Podewell' 'Rod Sell' 'Tom Milanovich'
 'John M. Watson Sr.' 'Peggy Roeder']"
