,rank,movie_name,movie_url,movie_year,genre,director_name,rating,cast_and_crew
75,76.0,Rome,https://www.imdb.com/title/tt0384766/,2005–2007,Action,Bruno Heller,8.7,"['Kevin McKidd' 'Ray Stevenson' 'Polly Walker' 'Kerry Condon'
 'James Purefoy' 'Ian McNeice' 'Coral Amiga' 'Lindsay Duncan'
 'Lidia Biondi' 'Tobias Menzies' 'Nicholas Woodeson' 'David Bamber'
 'Chiara Mastalli' 'Manfredi Aliquo' 'Indira Varma' 'Suzanne Bertish'
 'Max Pirkis' 'Lee Boardman']"
76,77.0,Over the Garden Wall,https://www.imdb.com/title/tt3718778/,2014,Animation,Katie Krentz,8.8,"['Elijah Wood' 'Collin Dean' 'Melanie Lynskey' 'Christopher Lloyd'
 'Samuel Ramey' 'Jack Jones' 'John Cleese' 'Emily Brundige'
 'Shirley Jones' 'Fred Stoller' 'Cole Sanchez' 'Sam Marin' 'Chris Isaak'
 'Janet Klein' 'Tim Curry' 'Bebe Neuwirth' 'Noureen DeWulf'
 'Deborah Voigt']"
77,78.0,Six Feet Under,https://www.imdb.com/title/tt0248654/,2001–2005,Comedy,Alan Ball,8.7,"['Peter Krause' 'Michael C. Hall' 'Frances Conroy' 'Lauren Ambrose'
 'Freddy Rodriguez' 'Mathew St. Patrick' 'Rachel Griffiths'
 'Justina Machado' 'Jeremy Sisto' 'Brenna Tosh' 'Bronwyn Tosh'
 'James Cromwell' 'Lili Taylor' 'Ben Foster' 'Joanna Cassidy'
 'Richard Jenkins' 'Giancarlo Rodriguez' ""Ed O'Ross""]"
78,79.0,Ted Lasso,https://www.imdb.com/title/tt10986410/,2020– ,Comedy,Brendan Hunt,8.8,"['Jason Sudeikis' 'Brett Goldstein' 'Brendan Hunt' 'Nick Mohammed'
 'Hannah Waddingham' 'Jeremy Swift' 'Phil Dunster' 'Juno Temple'
 'Toheeb Jimoh' 'Kola Bokinni' 'Billy Harris' 'Stephen Manas'
 'Cristo Fernandez' 'Moe Jeudy-Lamour' 'Annette Badland' 'Adam Colborne'
 'Bronson Webb' 'Kevin Garry']"
79,80.0,Peaky Blinders,https://www.imdb.com/title/tt2442560/,2013–2022,Crime,Steven Knight,8.8,"['Cillian Murphy' 'Paul Anderson' 'Sophie Rundle' 'Helen McCrory'
 'Ned Dennehy' 'Finn Cole' ""Natasha O'Keeffe"" 'Ian Peck' 'Harry Kirton'
 'Packy Lee' 'Joe Cole' 'Annabelle Wallis' 'Kate Phillips'
 'Aimee-Ffion Edwards' 'Tony Pitts' 'Benjamin Zephaniah' 'Tom Hardy'
 'Jordan Bolger']"
80,81.0,Oz,https://www.imdb.com/title/tt0118421/,1997–2003,Crime,Tom Fontana,8.7,"['Ernie Hudson' 'J.K. Simmons' 'Lee Tergesen' 'Dean Winters'
 'George Morfogen' 'Terry Kinney' 'Rita Moreno' 'Harold Perrineau'
 'Eamonn Walker' 'Craig muMs Grant' 'Luna Lauren Velez' 'Granville Adams'
 'Tom Mardirosian' 'Kirk Acevedo' 'BD Wong' 'Chuck Zito'
 'Philip Scozzarella' 'Scott William Winters']"
81,82.0,Kota Factory,https://www.imdb.com/title/tt9432978/,2019–2021,Comedy,Saurabh Khanna,9.0,"['Mayur More' 'Jitendra Kumar' 'Ranjan Raj' 'Alam Khan' 'Revathi Pillai'
 'Urvi Singh' 'Harish Peddinti' 'Ahsaas Channa' 'Sameer Saxena'
 'Vaibhav Thakkar' 'Arun Kumar' 'Akdas Hayat' 'Abhishake Jha'
 'Sachin Vidrohi' 'Op Jangid' 'Jyoti Gauba' 'Rajesh Kumar' 'Abhaya Sharma']"
82,83.0,Dark,https://www.imdb.com/title/tt5753856/,2017–2020,Crime,Baran bo Odar,8.7,"['Louis Hofmann' 'Karoline Eichhorn' 'Lisa Vicari' 'Maja Schone'
 'Jordis Triebel' 'Andreas Pietschmann' 'Stephan Kampwirth' 'Paul Lux'
 'Oliver Masucci' 'Moritz Jahn' 'Peter Benedict' 'Gina Stiebitz'
 'Deborah Kaufmann' 'Daan Lennard Liebrenz' 'Julika Jenkins'
 'Carlotta von Falkenhayn' 'Dietrich Hollinderbaumer' 'Mark Waschke']"
83,84.0,Steins;Gate,https://www.imdb.com/title/tt1910272/,2011–2015,Animation,Mamoru Miyano,8.8,"['Mamoru Miyano' 'Asami Imai' 'Kana Hanazawa' 'Ashly Burch'
 'J. Michael Tatum' 'Trina Nishimura' 'Tomokazu Seki' 'Tyson Rinehart'
 'Cherami Leigh' 'Yukari Tamura' 'Saori Goto' 'Yu Kobayashi'
 'Masaki Terasoma' 'Jessica Cavanagh' 'Christopher Sabat' 'Lindsay Seidel'
 'Haruko Momoi' 'Ayano Yamamoto']"
84,85.0,The Mandalorian,https://www.imdb.com/title/tt8111088/,2019– ,Action,Jon Favreau,8.7,"['Pedro Pascal' 'Carl Weathers' 'Giancarlo Esposito' 'Chris Bartlett'
 'Barry Lowin' 'Gina Carano' 'Leilani Shiu' 'Misty Rosas' 'Omid Abtahi'
 'Temuera Morrison' 'Ming-Na Wen' ""Katy M. O'Brian"" 'Rio Hackford'
 'Amy Sedaris' 'Emily Swallow' 'Nick Nolte' 'Werner Herzog'
 'Taika Waititi']"
