,rank,movie_name,movie_url,movie_year,genre,director_name,rating,cast_and_crew
10,11.0,Game of Thrones,https://www.imdb.com/title/tt0944947/,2011–2019,Action,David Benioff,9.2,"['Emilia Clarke' 'Peter Dinklage' 'Kit Harington' 'Lena Headey'
 'Sophie Turner' 'Maisie Williams' 'Nikolaj Coster-Waldau' 'Iain Glen'
 'John Bradley' 'Alfie Allen' 'Conleth Hill' 'Liam Cunningham'
 'Gwendoline Christie' 'Aidan Gillen' 'Isaac Hempstead Wright'
 'Rory McCann' 'Nathalie Emmanuel' 'Jerome Flynn']"
11,12.0,Ginny & Georgia,https://www.imdb.com/title/tt10813940/,2021– ,Comedy,Sarah Lampert,7.5,"['Brianne Howey' 'Antonia Gentry' 'Diesel La Torraca' 'Felix Mallard'
 'Sara Waisglass' 'Scott Porter' 'Raymond Ablack' 'Katie Douglas'
 'Chelsea Clark' 'Mason Temple' 'Dan Beirne' 'Nikki Roumel'
 'Jennifer Robertson' 'Sabrina Grdevich' 'Alex Mallari Jr.' 'Damian Romeo'
 'Colton Gobbo' 'Rebecca Ablack']"
12,13.0,Happy Valley,https://www.imdb.com/title/tt3428912/,2014–2023,Crime,Sally Wainwright,8.5,"['Sarah Lancashire' 'Siobhan Finneran' 'James Norton' 'Rhys Connah'
 'Charlie Murphy' 'Shane Zaza' 'Ishia Bennison' 'Rick Warden'
 'George Costigan' 'Karl Davies' 'Derek Riddell' ""Con O'Neill""
 'Mete Dursun' 'Vincent Franklin' 'Chord Melodic' 'Susan Lynch'
 'Jill Baker' 'Mark Stanley']"
13,14.0,1923,https://www.imdb.com/title/tt18335752/,2022–2023,Drama,Taylor Sheridan,8.6,"['Harrison Ford' 'Helen Mirren' 'Brandon Sklenar' 'Julia Schlaepfer'
 'Darren Mann' 'Jerome Flynn' 'Brian Geraghty' 'Michelle Randolph'
 'Aminah Nieves' 'Caleb Martin' 'Marley Shelton' 'Isabel May'
 'James Badge Dale' 'Brian Konowal' 'Jennifer Ehle' 'Leenah Robinson'
 'Sebastian Roche' 'Brian Brown']"
14,15.0,Breaking Bad,https://www.imdb.com/title/tt0903747/,2008–2013,Crime,Vince Gilligan,9.5,"['Bryan Cranston' 'Aaron Paul' 'Anna Gunn' 'Betsy Brandt' 'RJ Mitte'
 'Dean Norris' 'Bob Odenkirk' 'Steven Michael Quezada' 'Jonathan Banks'
 'Giancarlo Esposito' 'Charles Baker' 'Jesse Plemons'
 'Christopher Cousins' 'Laura Fraser' 'Matt Jones' 'Michael Shamus Wiles'
 'Lavell Crawford' 'Ray Campbell']"
15,16.0,Criminal Minds,https://www.imdb.com/title/tt0452046/,2005– ,Crime,Jeff Davis,8.1,"['Kirsten Vangsness' 'Matthew Gray Gubler' 'A.J. Cook' 'Joe Mantegna'
 'Thomas Gibson' 'Shemar Moore' 'Paget Brewster' 'Aisha Tyler'
 'Adam Rodriguez' 'Daniel Henney' 'Jeanne Tripplehorn' 'Mandy Patinkin'
 'Lola Glaudini' 'Josh Stewart' 'Jayne Atkinson' 'Jennifer Love Hewitt'
 'Cade Owens' 'Nicholas Brendon']"
16,17.0,Hunters,https://www.imdb.com/title/tt7456722/,2020–2023,Crime,David Weil,7.2,"['Al Pacino' 'Logan Lerman' 'Lena Olin' 'Josh Radnor' 'Jerrika Hinton'
 'Carol Kane' 'Greg Austin' 'Tiffany Boone' 'Louis Ozawa' 'Kate Mulvany'
 'Dylan Baker' 'Saul Rubinek' 'Jeannie Berlin' 'Jennifer Jason Leigh'
 'Jonno Davies' 'Emily Rudd' 'Julissa Bermudez' 'Henry Hunter Hall']"
17,18.0,Tulsa King,https://www.imdb.com/title/tt16358384/,2022– ,Crime,Taylor Sheridan,8.1,"['Sylvester Stallone' 'Andrea Savage' 'Martin Starr' 'Jay Will'
 'Max Casella' 'Domenick Lombardozzi' 'Vincent Piazza' 'A.C. Peterson'
 'Garrett Hedlund' 'Dana Delany' 'Chris Caldovino' 'Ritchie Coster'
 'Dashiell Connery' 'Emily Davis' 'Tatiana Zappardino'
 'McKenna Quigley Harrington' 'Justin Garcia-Pruneda' 'Barry Corbin']"
18,19.0,Your Honor,https://www.imdb.com/title/tt7440726/,2020–2023,Crime,Peter Moffat,7.6,"['Bryan Cranston' 'Hope Davis' 'Isiah Whitlock Jr.' 'Benjamin Flores Jr.'
 'Keith Machekanyanga' 'Amy Landecker' 'Michael Stuhlbarg' 'Lilli Kay'
 'Andrene Ward-Hammond' 'Tony Curran' 'Jimi Stanton' 'Margo Martindale'
 'Hunter Doohan' 'Carmen Ejogo' ""Gavin 'Chief' Meredith"" 'Jock McKissic'
 'Kelvin Witherspoon' 'David Maldonado']"
19,20.0,The Legend of Vox Machina,https://www.imdb.com/title/tt11247158/,2022– ,Animation,Chris Prynoski,8.4,"['Laura Bailey' 'Taliesin Jaffe' 'Ashley Johnson' 'Matthew Mercer'
 ""Liam O'Brien"" 'Marisha Ray' 'Sam Riegel' 'Travis Willingham'
 'Grey Griffin' 'Esme Creed-Miles' 'Kelly Hu' 'Indira Varma'
 'Khary Payton' 'Gina Torres' 'Stephanie Beatriz' 'Sunil Malhotra'
 'Lance Reddick' 'Darin De Paul']"
