,image_src,anchor_tag_links
30,"https://m.media-amazon.com/images/M/MV5BYjQ4MWQ4YWEtZDI0NS00MGEzLTk2NmUtMmY0NThmNzgwNGFkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/event/all/?ref_=nv_ev_all
31,"https://m.media-amazon.com/images/M/MV5BMjM2MTA5NjIwNV5BMl5BanBnXkFtZTgwNjI2OTMxNTM@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/feature/bornondate/?ref_=nv_cel_brn
32,"https://m.media-amazon.com/images/M/MV5BMDA3MmM4MDEtM2YwYS00NzliLWFlNzctYTBmZGE1NjFiM2U1XkEyXkFqcGdeQXVyODQ4Mjc2NDM@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.comhttps://m.imdb.com/chart/starmeter/?ref_=nv_cel_brn
33,"https://m.media-amazon.com/images/M/MV5BOWE2ZmIxZjgtNDczZS00OWIxLWI2MWUtY2Y4ODIyYWViMDM4XkEyXkFqcGdeQXVyODQ4Mjc2NDM@._V1_QL75_UX140_CR0,21,140,207_.jpg",https://www.imdb.comhttps://www.imdb.com/search/name/?match_all=true&ref_=nv_cel_m
34,"https://m.media-amazon.com/images/M/MV5BOWE2ZmIxZjgtNDczZS00OWIxLWI2MWUtY2Y4ODIyYWViMDM4XkEyXkFqcGdeQXVyODQ4Mjc2NDM@._V1_QL75_UX140_CR0,21,140,207_.jpg",https://www.imdb.com/news/celebrity/?ref_=nv_cel_nw
35,"https://m.media-amazon.com/images/M/MV5BMzEyMDBmNmItZmI5My00ZDVjLTliNWEtZDc1NzMyYWY1MzNlXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.comhttps://help.imdb.com/imdb?ref_=cons_nb_hlp
36,"https://m.media-amazon.com/images/M/MV5BODNjODYzZmItNTE5NC00NjU3LWFiZTMtNWQ2ZGYwZDVlNDZiXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.comhttps://contribute.imdb.com/czone?ref_=nv_cm_cz
37,"https://m.media-amazon.com/images/M/MV5BZTgxMDBmMzEtYzA4Yi00NWQ5LTg3YjItNWQ3NGFjNmE4MDUzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.com/poll/?ref_=nv_cm_pl
38,"https://m.media-amazon.com/images/M/MV5BOWE1MjI5NzgtMjdhZC00ZTQ3LWJkYjAtYjhkOWI1Mzc0YzNmXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.comhttps://pro.imdb.com?ref_=cons_nb_hm&rf=cons_nb_hm
39,"https://m.media-amazon.com/images/M/MV5BNTRmYjUxZDgtN2JlNi00MjI0LWFkMTYtZDlhOWNhZjI2NzA2XkEyXkFqcGdeQWplZmZscA@@._V1_QL75_UX380_CR0,0,380,214_.jpg",https://www.imdb.com/?ref_=nv_home
